id,name,common_name,calories,protein,carbs,fat,sodium
E0800101,草石蠶,"甘露兒,甘露菜,寶塔菜,地蠶,螺獅菜,土蛹(坊間誤稱為冬蟲夏草)",75,1.7,18,0,0
E0900101,球莖甘藍,"大頭菜,結頭菜,芥頭,菜菜鵠,菜叩,莖藍,蕪菁蕓苔",20,1.6,3.6,0.2,18
E1000101,孟宗竹筍,"毛竹,茅竹,茅茹竹,江南竹,貓竹,貓兒竹,楠竹,南竹,至竹,斑竹(冬筍)",40,4,7.3,0.2,12
E1100101,熟桂竹筍,"桂竹仔筍,石竹仔筍,簍竹,筀竹筍",21,2.1,3.5,0.2,68
E1200101,烏殼綠竹筍,"烏殼筍,烏殼綠,烏綠竹,烏腳綠竹筍,烏腳綠仔,四季竹,南洋竹,食用刺竹",21,1.8,3.8,0.2,17
E1300101,茭白筍,"茭白,茭筍,茭草,水筍,腳白筍,加白筍,菰,菰菜,菰筍,菰蔣",20,1.3,4,0.2,5
E1300201,玉米筍,"番麥筍,珍珠筍",33,1.8,7,0.2,0
E1400101,麻竹筍,"?竹,甜竹,巨竹,坭竹,大綠竹,瓦坭竹,巨麻竹,美濃麻竹,吊絲麻竹",22,1.4,4.4,0.1,1
E1400201,冷凍麻竹筍,"?竹,甜竹,巨竹,坭竹,大綠竹,瓦坭竹,巨麻竹,美濃麻竹,吊絲麻竹",17,0.9,3.8,0,22
E1500101,綠竹筍,"甜竹,甜竹筍,綠仔筍,綠仔?,綠竹?",25,1.7,4.7,0.2,0
E1500201,帶殼熟綠竹筍,"甜竹,甜竹筍,綠仔筍,綠仔?,綠竹?",25,2,4.9,0.1,1
E1500301,沙拉筍塊,涼筍,24,1.6,4.8,0.1,8
E1600101,熟箭竹筍,"箭筍,台灣箭竹,矢竹仔,玉山箭竹",20,2.1,2.9,0.3,343
E1700101,白蘆筍,"野天門冬,松葉土當歸,石刁柏,龍鬚菜",25,1.8,4.9,0.2,4
E17002,綠蘆筍平均值,"野天門冬,松葉土當歸,石刁柏,龍鬚菜",22,2.7,3.5,0.2,4
E1700201,綠蘆筍,"野天門冬,松葉土當歸,石刁柏,龍鬚菜",22,1.3,4.5,0.2,6
E1700202,澳洲綠蘆筍(粗短型),"野天門冬,松葉土當歸,石刁柏,龍鬚菜",20,2.5,3.1,0.2,3
E1700203,綠蘆筍(細短型),"野天門冬,松葉土當歸,石刁柏,龍鬚菜",23,3.3,3.2,0.2,3
E1700204,綠蘆筍(短型),"野天門冬,松葉土當歸,石刁柏,龍鬚菜",22,3.5,3,0.1,5
E1700301,蘆筍花,,21,2.9,2.7,0.3,2
E1800101,嫩莖萵苣,"鵝菜心,莖用萵苣,萵(鵝)仔菜心,大心萵(媚)仔菜,萵苣筍(莖),妹仔菜筍,",16,1,3.1,0.2,22
E1900101,嫩薑,"薑仔,生薑,生姜,羌,蘘荷,茗荷,甘露子,紫薑",21,0,4.8,0.3,12
E1900102,粉薑,"薑仔,生薑,生姜,羌,蘘荷,茗荷,甘露子,紫薑",28,1,6.1,0.3,7
E1900103,老薑,"薑仔,生薑,生姜,羌,蘘荷,茗荷,甘露子,紫薑",53,1.1,11.7,0.5,4
